# Simulation 39 (Up to date)
# 378 data points written for 54 variables.
#
# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
8.725,839.638,-11.786,-2.547,11.83,2.559,68.904,0.039,68.904,0.032,1.025,0.251,28.61,-80.6,9.791,72.24,3.218e-5,11.139,0.008,431.637,37.3,0.014,2.015e-4,18.905,15.272,1.397,0.036,5.871e5,0,0.011,0.597,0.037,0.314,0.163,0.12,10.206,-0.19,4.364e-4,0,0,0,0,0.021,0.002,2.6,34.253,-2.175,0.021,2.262,13.337,983.235,339.381,0.05,0.212
8.775,837.694,-11.908,-2.345,11.953,2.367,69.073,0.039,69.073,0.032,1.04,0.326,28.61,-80.6,9.791,71.914,3.099e-5,10.344,0.008,431.637,37.3,0.014,2.015e-4,18.867,15.272,1.383,0.036,5.926e5,0,0.012,0.597,0.038,0.314,0.163,0.12,10.301,-0.18,1.94e-4,0,0,0,0,0.017,0.002,2.6,34.253,-2.712,0.021,2.234,13.34,983.304,339.383,0.05,0.212
8.825,835.732,-12.021,-2.167,12.067,2.204,69.245,0.039,69.245,0.032,1.058,0.4,28.61,-80.6,9.791,71.815,2.523e-5,9.567,0.009,431.637,37.3,0.014,2.015e-4,18.84,15.272,1.372,0.037,5.971e5,0,0.012,0.597,0.039,0.314,0.163,0.12,10.393,-0.181,4.755e-4,0,0,0,0,0.015,0.002,2.6,34.253,-3.21,0.02,2.157,13.344,983.374,339.386,0.05,0.212
8.875,833.751,-12.125,-1.989,12.173,2.044,69.421,0.039,69.421,0.032,1.08,0.471,28.61,-80.6,9.791,71.52,3.434e-5,8.75,0.009,431.637,37.3,0.014,2.015e-4,18.807,15.272,1.36,0.037,6.019e5,0,0.013,0.597,0.041,0.314,0.163,0.12,10.473,-0.171,3.281e-4,0,0,0,0,0.012,0.002,2.6,34.253,-3.668,0.02,2.127,13.348,983.445,339.388,0.05,0.212
8.925,831.754,-12.22,-1.812,12.27,1.89,69.6,0.04,69.6,0.033,1.105,0.538,28.61,-80.6,9.791,70.976,2.975e-5,8.045,0.01,431.637,37.3,0.014,2.015e-4,18.769,15.272,1.345,0.037,6.07e5,0,0.014,0.597,0.044,0.314,0.163,0.12,10.537,-0.15,-4.582e-4,0,0,0,0,0.01,0.002,2.6,34.253,-4.087,0.019,2.155,13.352,983.517,339.39,0.05,0.212
8.975,829.742,-12.306,-1.656,12.358,1.762,69.783,0.04,69.783,0.033,1.134,0.602,28.61,-80.6,9.791,70.617,2.508e-5,7.393,0.008,431.637,37.3,0.014,2.015e-4,18.739,15.272,1.334,0.038,6.112e5,0,0.015,0.597,0.047,0.314,0.163,0.12,10.599,-0.137,-4.711e-4,0,0,0,0,0.008,0.002,2.6,34.253,-4.473,0.019,2.143,13.356,983.588,339.393,0.05,0.213
9.025,827.717,-12.386,-1.508,12.44,1.647,69.972,0.04,69.972,0.033,1.165,0.662,28.61,-80.6,9.791,70.187,2.845e-5,6.775,0.011,431.637,37.3,0.014,2.015e-4,18.709,15.272,1.322,0.038,6.154e5,0,0.017,0.597,0.049,0.314,0.163,0.12,10.651,-0.12,2.385e-6,0,0,0,0,0.007,0.002,2.6,34.253,-4.827,0.018,2.15,13.36,983.661,339.395,0.05,0.213
9.075,825.679,-12.457,-1.381,12.515,1.557,70.166,0.04,70.166,0.033,1.2,0.72,28.61,-80.6,9.791,69.925,4.138e-5,6.276,0.013,431.637,37.3,0.014,2.015e-4,18.686,15.272,1.313,0.038,6.188e5,0,0.017,0.597,0.051,0.314,0.163,0.12,10.702,-0.11,-1.042e-4,0,0,0,0,0.006,0.002,2.6,34.253,-5.153,0.018,2.12,13.364,983.734,339.398,0.05,0.213
9.125,823.63,-12.524,-1.268,12.585,1.486,70.366,0.04,70.366,0.033,1.237,0.774,28.61,-80.6,9.791,69.825,2.27e-5,5.724,0.008,431.637,37.3,0.014,2.015e-4,18.67,15.272,1.307,0.038,6.216e5,0,0.018,0.597,0.052,0.314,0.163,0.12,10.754,-0.109,2.151e-4,0,0,0,0,0.005,0.002,2.6,34.253,-5.453,0.017,2.054,13.368,983.807,339.4,0.05,0.214
9.175,821.571,-12.584,-1.147,12.649,1.412,70.572,0.041,70.572,0.033,1.277,0.824,28.61,-80.6,9.791,69.348,3.403e-5,5.233,0.01,431.637,37.3,0.014,2.015e-4,18.643,15.272,1.297,0.038,6.252e5,0,0.019,0.597,0.055,0.314,0.163,0.12,10.786,-0.088,-2.362e-4,0,0,0,0,0.004,0.002,2.6,34.253,-5.727,0.017,2.077,13.372,983.881,339.403,0.05,0.214
9.225,819.502,-12.639,-1.054,12.708,1.368,70.785,0.041,70.785,0.033,1.319,0.871,28.61,-80.6,9.791,69.234,2.799e-5,4.898,0.01,431.637,37.3,0.014,2.015e-4,18.629,15.272,1.291,0.039,6.275e5,0,0.02,0.597,0.056,0.314,0.163,0.12,10.826,-0.084,-6.648e-5,0,0,0,0,0.003,0.002,2.6,34.253,-5.98,0.016,2.017,13.376,983.954,339.405,0.05,0.214
9.275,817.424,-12.69,-0.966,12.763,1.331,71.005,0.041,71.005,0.033,1.364,0.916,28.61,-80.6,9.791,69.147,2.566e-5,4.394,0.009,431.637,37.3,0.014,2.015e-4,18.616,15.272,1.286,0.039,6.297e5,0,0.02,0.597,0.057,0.314,0.163,0.12,10.865,-0.083,7.115e-7,0,0,0,0,0.003,0.002,2.6,34.253,-6.212,0.016,1.951,13.381,984.029,339.407,0.05,0.214
9.325,815.339,-12.736,-0.881,12.813,1.3,71.233,0.041,71.233,0.033,1.411,0.956,28.61,-80.6,9.791,68.91,2.658e-5,4.09,0.01,431.637,37.3,0.014,2.015e-4,18.6,15.272,1.28,0.039,6.32e5,0,0.021,0.597,0.059,0.314,0.163,0.12,10.893,-0.073,-3.788e-4,0,0,0,0,0.002,0.002,2.6,34.253,-6.424,0.015,1.922,13.385,984.103,339.41,0.05,0.214
9.375,813.246,-12.778,-0.802,12.861,1.277,71.468,0.042,71.468,0.033,1.46,0.995,28.61,-80.6,9.791,68.722,2.684e-5,3.683,0.011,431.637,37.3,0.014,2.015e-4,18.586,15.272,1.275,0.039,6.342e5,0,0.021,0.597,0.06,0.314,0.163,0.12,10.92,-0.065,4.642e-4,0,0,0,0,0.002,0.002,2.6,34.253,-6.618,0.015,1.883,13.389,984.178,339.413,0.05,0.214
9.425,811.147,-12.816,-0.73,12.905,1.262,71.712,0.042,71.712,0.034,1.51,1.03,28.61,-80.6,9.791,68.488,2.963e-5,3.451,0.012,431.637,37.3,0.014,2.015e-4,18.572,15.272,1.269,0.039,6.362e5,0,0.022,0.597,0.062,0.314,0.163,0.12,10.94,-0.055,1.764e-4,0,0,0,0,0.002,0.002,2.6,34.253,-6.797,0.014,1.855,13.393,984.253,339.415,0.05,0.215
9.475,809.042,-12.851,-0.66,12.946,1.251,71.964,0.042,71.964,0.034,1.563,1.063,28.61,-80.6,9.791,68.241,3.037e-5,3.137,0.014,431.637,37.3,0.014,2.015e-4,18.558,15.272,1.264,0.039,6.383e5,0,0.023,0.597,0.064,0.314,0.163,0.12,10.958,-0.043,1.189e-4,0,0,0,0,0.001,0.002,2.6,34.253,-6.961,0.014,1.832,13.397,984.328,339.418,0.05,0.215
9.525,806.931,-12.882,-0.586,12.983,1.24,72.224,0.042,72.224,0.034,1.617,1.093,28.61,-80.6,9.791,67.688,3.065e-5,3.019,0.013,431.637,37.3,0.014,2.015e-4,18.536,15.272,1.255,0.039,6.41e5,0,0.025,0.597,0.068,0.314,0.163,0.12,10.956,-0.014,-4.332e-4,0,0,0,0,0.001,0.002,2.6,34.253,-7.115,0.013,1.882,13.401,984.404,339.42,0.05,0.215
9.575,804.816,-12.91,-0.513,13.017,1.233,72.494,0.043,72.494,0.034,1.672,1.121,28.61,-80.6,9.791,67.048,3.462e-5,3.009,0.015,431.637,37.3,0.014,2.015e-4,18.512,15.272,1.246,0.04,6.44e5,0,0.027,0.597,0.074,0.314,0.163,0.12,10.945,0.02,3.14e-4,0,0,0,0,0.001,0.002,2.6,34.253,-7.265,0.012,1.954,13.405,984.48,339.423,0.05,0.215
9.625,802.696,-12.934,-0.457,13.049,1.237,72.773,0.043,72.773,0.034,1.729,1.15,28.61,-80.6,9.791,66.541,2.901e-5,3.241,0.013,431.637,37.3,0.014,2.015e-4,18.494,15.272,1.239,0.04,6.463e5,0,0.029,0.597,0.078,0.314,0.163,0.12,10.935,0.049,-1.256e-4,0,0,0,0,0.001,0.002,2.6,34.253,-7.42,0.012,1.989,13.41,984.555,339.425,0.05,0.215
9.675,800.572,-12.955,-0.417,13.078,1.251,73.061,0.043,73.061,0.034,1.787,1.18,28.61,-80.6,9.791,66.223,3.023e-5,3.502,0.013,431.637,37.3,0.014,2.015e-4,18.482,15.272,1.235,0.04,6.479e5,0,0.03,0.597,0.081,0.314,0.163,0.12,10.931,0.066,-2.795e-4,0,0,0,0,0.002,0.002,2.6,34.253,-7.588,0.011,1.974,13.414,984.631,339.428,0.05,0.216
9.725,798.445,-12.975,-0.373,13.106,1.268,73.359,0.043,73.359,0.034,1.847,1.212,28.61,-80.6,9.791,65.646,3.04e-5,3.919,0.014,431.637,37.3,0.014,2.015e-4,18.464,15.272,1.228,0.04,6.503e5,0,0.032,0.597,0.086,0.314,0.163,0.12,10.908,0.099,2.508e-4,0,0,0,0,0.002,0.002,2.6,34.253,-7.773,0.01,2.017,13.418,984.707,339.43,0.05,0.216
9.775,796.315,-12.993,-0.342,13.132,1.292,73.667,0.044,73.667,0.034,1.908,1.246,28.61,-80.6,9.791,65.131,3.073e-5,4.56,0.016,431.637,37.3,0.014,2.015e-4,18.448,15.272,1.222,0.04,6.522e5,0,0.035,0.597,0.091,0.314,0.163,0.12,10.883,0.131,4.289e-4,0,0,0,0,0.003,0.002,2.6,34.253,-7.984,0.01,2.035,13.422,984.783,339.433,0.05,0.216
9.825,794.183,-13.01,-0.343,13.158,1.332,73.985,0.044,73.985,0.034,1.971,1.287,28.61,-80.6,9.791,65.058,2.56e-5,5.288,0.014,431.637,37.3,0.014,2.015e-4,18.446,15.272,1.221,0.04,6.525e5,0,0.035,0.597,0.092,0.314,0.163,0.12,10.879,0.133,2.824e-4,0,0,0,0,0.004,0.002,2.6,34.253,-8.23,0.009,1.935,13.427,984.86,339.435,0.05,0.216
9.875,792.047,-13.027,-0.344,13.185,1.376,74.314,0.044,74.314,0.034,2.037,1.332,28.61,-80.6,9.791,64.889,2.75e-5,5.942,0.015,431.637,37.3,0.014,2.015e-4,18.442,15.272,1.219,0.04,6.53e5,0,0.036,0.597,0.094,0.314,0.163,0.12,10.868,0.144,-2.926e-4,0,0,0,0,0.005,0.002,2.6,34.253,-8.51,0.008,1.847,13.431,984.936,339.438,0.05,0.216
9.925,789.909,-13.044,-0.337,13.213,1.422,74.654,0.044,74.654,0.034,2.105,1.382,28.61,-80.6,9.791,64.355,3.234e-5,6.808,0.015,431.637,37.3,0.014,2.015e-4,18.428,15.272,1.214,0.04,6.546e5,0,0.038,0.597,0.099,0.314,0.163,0.12,10.831,0.177,2.657e-4,0,0,0,0,0.006,0.002,2.6,34.253,-8.829,0.007,1.837,13.435,985.012,339.441,0.05,0.216
9.975,787.768,-13.061,-0.346,13.241,1.479,75.005,0.044,75.005,0.034,2.175,1.438,28.61,-80.6,9.791,63.957,2.096e-5,7.838,0.012,431.637,37.3,0.014,2.015e-4,18.42,15.272,1.211,0.04,6.556e5,0,0.039,0.597,0.103,0.314,0.163,0.12,10.797,0.201,-8.046e-5,0,0,0,0,0.008,0.002,2.6,34.253,-9.194,0.007,1.78,13.439,985.089,339.443,0.05,0.217
10.025,785.624,-13.079,-0.356,13.271,1.543,75.368,0.045,75.368,0.034,2.249,1.501,28.61,-80.6,9.791,63.361,2.364e-5,8.94,0.015,431.637,37.3,0.014,2.015e-4,18.407,15.272,1.206,0.04,6.572e5,0,0.042,0.597,0.11,0.314,0.163,0.12,10.747,0.239,-1.07e-4,0,0,0,0,0.011,0.002,2.6,34.253,-9.613,0.006,1.756,13.444,985.166,339.446,0.05,0.217
10.075,783.477,-13.097,-0.359,13.302,1.611,75.743,0.045,75.743,0.034,2.325,1.571,28.61,-80.6,9.791,62.291,3.368e-5,10.405,0.015,431.637,37.3,0.014,2.015e-4,18.383,15.272,1.197,0.04,6.602e5,0,0.047,0.597,0.121,0.314,0.163,0.12,10.657,0.309,1.026e-4,0,0,0,0,0.014,0.002,2.6,34.253,-10.095,0.005,1.832,13.448,985.242,339.448,0.05,0.217
10.125,781.327,-13.115,-0.363,13.334,1.688,76.131,0.045,76.131,0.034,2.406,1.649,28.61,-80.6,9.791,60.83,3.599e-5,12.307,0.017,431.637,37.3,0.014,2.015e-4,18.351,15.272,1.185,0.041,6.646e5,0,0.054,0.597,0.139,0.314,0.163,0.12,10.529,0.41,-1.519e-4,0,0,0,0,0.02,0.002,2.6,34.253,-10.661,0.005,1.984,13.452,985.319,339.451,0.05,0.217
10.175,779.174,-13.134,-0.413,13.368,1.789,76.532,0.045,76.532,0.034,2.49,1.74,28.61,-80.6,9.791,59.735,3.288e-5,14.916,0.016,431.637,37.3,0.014,2.015e-4,18.333,15.272,1.177,0.041,6.672e5,0,0.06,0.597,0.152,0.314,0.163,0.12,10.412,0.484,-2.944e-4,0,0,0,0,0.029,0.002,2.6,34.253,-11.339,0.004,2.012,13.456,985.396,339.453,0.05,0.217
10.225,777.018,-13.156,-0.501,13.407,1.917,76.948,0.046,76.948,0.034,2.58,1.85,28.61,-80.6,9.791,59.032,1.157e-5,17.607,0.014,431.637,37.3,0.014,2.015e-4,18.326,15.272,1.175,0.041,6.68e5,0,0.064,0.597,0.162,0.314,0.163,0.12,10.315,0.53,-1.876e-4,0,0,0,0,0.04,0.002,2.6,34.253,-12.15,0.003,1.903,13.461,985.473,339.456,0.05,0.218
10.275,774.857,-13.184,-0.599,13.453,2.063,77.379,0.046,77.379,0.034,2.676,1.974,28.61,-80.6,9.791,57.854,2.571e-5,20.734,0.013,431.637,37.3,0.014,2.015e-4,18.31,15.272,1.169,0.041,6.703e5,0,0.071,0.597,0.178,0.314,0.163,0.12,10.168,0.61,-1.195e-5,0,0,0,0,0.055,0.002,2.6,34.253,-13.107,0.002,1.873,13.465,985.55,339.459,0.05,0.218
10.325,772.692,-13.217,-0.718,13.505,2.23,77.826,0.046,77.826,0.034,2.778,2.112,28.61,-80.6,9.791,56.327,4.994e-5,24.43,0.014,431.637,37.3,0.014,2.015e-4,18.291,15.272,1.161,0.041,6.736e5,0,0.08,0.597,0.199,0.314,0.163,0.12,9.976,0.719,3.803e-4,0,0,0,0,0.076,0.002,2.6,34.253,-14.234,0.002,1.886,13.469,985.628,339.461,0.05,0.218
# Event EJECTION_CHARGE occurred at t=10.33 seconds
10.33,772.464,-13.221,-0.732,13.511,2.249,77.874,0.046,77.874,0.034,2.789,2.127,28.61,-80.6,9.791,56.154,2.915e-5,24.857,0.014,431.637,37.3,0.014,2.015e-4,18.289,15.272,1.16,0.041,6.74e5,0,0.081,0.597,0.202,0.314,0.163,0.12,9.953,0.731,-4.214e-4,0,0,0,0,0.078,0.002,2.6,34.253,-14.363,0.002,1.888,13.47,985.636,339.461,0.005,0.218
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=10.331 seconds
10.333,772.356,-13.222,-0.739,13.514,2.258,77.897,0.046,77.897,0.034,2.794,2.134,28.61,-80.6,9.791,56.069,2.919e-5,25.063,0.014,431.637,37.3,0.014,2.015e-4,18.288,15.272,1.16,0.041,6.742e5,0,0.082,0.597,0.203,0.314,0.163,0.12,9.942,0.738,3.863e-4,0,0,0,0,0.079,0.002,2.6,34.253,-14.425,0.002,1.89,13.47,985.64,339.462,0.003,0.218
10.333,772.312,-13.209,13.684,14.012,16.012,77.906,0.046,77.906,0.034,2.786,8.314,28.61,-80.6,9.791,NaN,NaN,NaN,NaN,431.637,37.3,NaN,NaN,NaN,NaN,NaN,0.041,6.734e5,0,10.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,1.89,13.47,985.64,339.462,0.001,0.219
10.352,771.536,-12.962,13.634,13.729,15.957,78.067,0.046,78.067,0.034,2.636,8.291,28.61,-80.6,9.791,NaN,NaN,NaN,NaN,431.637,37.3,NaN,NaN,NaN,NaN,NaN,0.041,6.599e5,0,10.726,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,1.89,13.47,985.641,339.462,0.018,0.219
10.37,770.761,-12.728,12.738,13.464,14.979,78.222,0.046,78.222,0.034,2.491,7.881,28.61,-80.6,9.791,NaN,NaN,NaN,NaN,431.637,37.3,NaN,NaN,NaN,NaN,NaN,0.04,6.471e5,0,10.303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,1.899,13.471,985.669,339.463,0.018,0.219
10.39,769.926,-12.487,11.908,13.192,14.079,78.382,0.046,78.382,0.034,2.339,7.511,28.61,-80.6,9.791,NaN,NaN,NaN,NaN,431.637,37.3,NaN,NaN,NaN,NaN,NaN,0.04,6.341e5,0,9.912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,1.915,13.473,985.697,339.464,0.02,0.219
10.412,769.033,-12.244,11.07,12.917,13.17,78.545,0.046,78.545,0.034,2.182,7.136,28.61,-80.6,9.791,NaN,NaN,NaN,NaN,431.637,37.3,NaN,NaN,NaN,NaN,NaN,0.039,6.208e5,0,9.517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,1.933,13.475,985.727,339.465,0.022,0.219
10.436,768.086,-12,10.232,12.638,12.256,78.709,0.046,78.709,0.034,2.022,6.745,28.61,-80.6,9.791,NaN,NaN,NaN,NaN,431.637,37.3,NaN,NaN,NaN,NaN,NaN,0.038,6.074e5,0,9.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,1.943,13.476,985.759,339.466,0.024,0.219
10.462,767.073,-11.756,9.407,12.355,11.347,78.875,0.046,78.875,0.034,1.857,6.346,28.61,-80.6,9.791,NaN,NaN,NaN,NaN,431.637,37.3,NaN,NaN,NaN,NaN,NaN,0.037,5.939e5,0,8.728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,1.946,13.478,985.793,339.467,0.026,0.219
10.491,765.961,-11.505,8.601,12.067,10.468,79.044,0.046,79.044,0.034,1.683,5.967,28.61,-80.6,9.791,NaN,NaN,NaN,NaN,431.637,37.3,NaN,NaN,NaN,NaN,NaN,0.036,5.8e5,0,8.346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,1.958,13.48,985.829,339.468,0.029,0.219
10.524,764.727,-11.247,7.796,11.774,9.602,79.216,0.047,79.216,0.034,1.498,5.606,28.61,-80.6,9.791,NaN,NaN,NaN,NaN,431.637,37.3,NaN,NaN,NaN,NaN,NaN,0.036,5.66e5,0,7.968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,1.985,13.482,985.868,339.469,0.033,0.219
10.562,763.357,-10.985,6.99,11.477,8.744,79.389,0.047,79.389,0.034,1.3,5.254,28.61,-80.6,9.791,NaN,NaN,NaN,NaN,431.637,37.3,NaN,NaN,NaN,NaN,NaN,0.035,5.517e5,0,7.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,2.024,13.485,985.913,339.471,0.038,0.219
10.603,761.885,-10.729,6.174,11.179,7.852,79.551,0.047,79.551,0.034,1.1,4.851,28.61,-80.6,9.791,NaN,NaN,NaN,NaN,431.637,37.3,NaN,NaN,NaN,NaN,NaN,0.034,5.374e5,0,7.203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,2.039,13.488,985.962,339.472,0.041,0.219
10.647,760.359,-10.494,5.373,10.885,6.916,79.696,0.047,79.696,0.034,0.909,4.354,28.61,-80.6,9.791,NaN,NaN,NaN,NaN,431.637,37.3,NaN,NaN,NaN,NaN,NaN,0.033,5.233e5,0,6.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,1.982,13.491,986.014,339.474,0.044,0.219
10.708,758.299,-10.209,4.698,10.565,6.233,79.852,0.047,79.852,0.034,0.66,4.096,28.61,-80.6,9.791,NaN,NaN,NaN,NaN,431.637,37.3,NaN,NaN,NaN,NaN,NaN,0.032,5.079e5,0,6.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,2.058,13.494,986.069,339.476,0.061,0.219
10.771,756.212,-9.966,3.862,10.269,5.294,79.965,0.047,79.965,0.034,0.432,3.621,28.61,-80.6,9.791,NaN,NaN,NaN,NaN,431.637,37.3,NaN,NaN,NaN,NaN,NaN,0.031,4.937e5,0,6.097,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,2.048,13.498,986.142,339.478,0.063,0.219
10.854,753.533,-9.701,3.181,9.959,4.572,80.045,0.047,80.046,0.034,0.159,3.284,28.61,-80.6,9.791,NaN,NaN,NaN,NaN,431.637,37.3,NaN,NaN,NaN,NaN,NaN,0.03,4.788e5,0,5.776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,2.092,13.502,986.217,339.481,0.083,0.219
10.961,750.162,-9.436,2.473,9.652,3.868,80.045,0.048,80.045,0.034,0.16,2.974,28.61,-80.6,9.791,NaN,NaN,NaN,NaN,431.637,37.3,NaN,NaN,NaN,NaN,NaN,0.029,4.641e5,0,5.447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,2.194,13.507,986.313,339.484,0.107,0.219
11.112,745.554,-9.164,1.798,9.344,3.285,79.863,0.048,79.863,0.034,0.575,2.75,28.61,-80.6,9.791,NaN,NaN,NaN,NaN,431.637,37.3,NaN,NaN,NaN,NaN,NaN,0.029,4.493e5,0,5.141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,2.4,13.514,986.433,339.488,0.151,0.219
11.262,741.093,-9.008,1.042,9.124,2.328,79.504,0.048,79.504,0.035,0.887,2.082,28.61,-80.6,9.791,NaN,NaN,NaN,NaN,431.637,37.3,NaN,NaN,NaN,NaN,NaN,0.027,4.388e5,0,4.762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,2.337,13.523,986.598,339.494,0.15,0.219
11.524,733.401,-8.844,0.624,8.903,1.805,78.548,0.048,78.548,0.035,1.332,1.694,28.61,-80.6,9.791,NaN,NaN,NaN,NaN,431.637,37.3,NaN,NaN,NaN,NaN,NaN,0.027,4.282e5,0,4.555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,2.353,13.532,986.757,339.499,0.263,0.219
11.91,722.244,-8.771,0.189,8.791,1.186,76.575,0.048,76.575,0.036,1.784,1.171,28.61,-80.6,9.791,NaN,NaN,NaN,NaN,431.637,37.3,NaN,NaN,NaN,NaN,NaN,0.026,4.229e5,0,4.337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,2.371,13.547,987.032,339.508,0.386,0.219
12.41,707.852,-8.775,-0.007,8.78,0.796,73.323,0.048,73.323,0.038,2.182,0.796,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,431.637,37.3,NaN,NaN,NaN,NaN,NaN,0.026,4.225e5,0,4.237,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,2.498,13.569,987.431,339.522,0.5,0.22
12.91,693.45,-8.785,-0.02,8.786,0.378,69.589,0.048,69.589,0.04,2.37,0.377,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,431.637,37.3,NaN,NaN,NaN,NaN,NaN,0.026,4.229e5,0,4.221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,2.521,13.598,987.946,339.539,0.5,0.22
13.41,679.039,-8.785,-7.638e-4,8.785,0.05,65.681,0.048,65.681,0.042,2.395,0.05,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,431.637,37.3,NaN,NaN,NaN,NaN,NaN,0.026,4.23e5,0,4.226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,2.416,13.626,988.461,339.556,0.5,0.22
13.91,664.63,-8.782,0.006,8.783,0.182,61.827,0.048,61.827,0.044,2.304,0.182,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,431.637,37.3,NaN,NaN,NaN,NaN,NaN,0.026,4.23e5,0,4.229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,2.233,13.655,988.976,339.574,0.5,0.22
14.41,650.224,-8.781,0.002,8.781,0.107,58.003,0.048,58.003,0.047,2.357,0.107,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,431.637,37.3,NaN,NaN,NaN,NaN,NaN,0.026,4.231e5,0,4.228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,2.401,13.683,989.491,339.591,0.5,0.22
